Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22,Action
10.0,23.0,2.0,0.0,1.0,0.0,0.0,1.0
15.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0
16.0,8.0,2.0,1.0,0.0,2.0,1.0,1.0
11.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0
11.0,9.0,0.0,1.0,2.0,1.0,1.0,1.0
10.0,23.0,1.0,0.0,1.0,1.0,0.0,1.0
16.0,8.0,2.0,2.0,0.0,1.0,2.0,1.0
11.0,14.0,0.0,1.0,1.0,2.0,1.0,1.0
10.0,23.0,2.0,2.0,0.0,2.0,0.0,1.0
21.0,23.0,1.0,2.0,2.0,2.0,1.0,1.0
6.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0
11.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0
16.0,19.0,0.0,2.0,0.0,1.0,1.0,1.0
11.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0
16.0,18.0,1.0,1.0,0.0,1.0,2.0,1.0
11.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0
16.0,19.0,1.0,0.0,0.0,1.0,1.0,1.0
16.0,23.0,0.0,2.0,0.0,2.0,1.0,1.0
11.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0
6.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0
10.0,23.0,2.0,0.0,1.0,0.0,0.0,1.0
15.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0
16.0,8.0,2.0,1.0,0.0,2.0,1.0,1.0
11.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0
11.0,9.0,0.0,1.0,2.0,1.0,1.0,1.0
10.0,23.0,1.0,0.0,1.0,1.0,0.0,1.0
16.0,8.0,2.0,2.0,0.0,1.0,2.0,1.0
11.0,14.0,0.0,1.0,1.0,2.0,1.0,1.0
10.0,23.0,2.0,2.0,0.0,2.0,0.0,1.0
21.0,23.0,1.0,2.0,2.0,2.0,1.0,1.0
6.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0
11.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0
16.0,19.0,0.0,2.0,0.0,1.0,1.0,1.0
11.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0
16.0,18.0,1.0,1.0,0.0,1.0,2.0,1.0
11.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0
16.0,19.0,1.0,0.0,0.0,1.0,1.0,1.0
16.0,23.0,0.0,2.0,0.0,2.0,1.0,1.0
11.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0
6.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0
