,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
0,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[1, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[4, 2, 0]",0.1810121008505424,1.0,False,1.0,0.9444444444444445,0
1,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[2, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[0, 0, 2]",0.2332682212193807,1.0,False,1.0,0.36772486772486773,0
2,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[12, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[1, 1, 0]",0.3464726308981578,0.9,False,1.0,0.30442914515203673,0
3,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[3, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[0, 0, -1]",0.29405035078525543,1.0,False,0.6666666666666666,0.5238095238095238,0
4,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[11, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[-1, 1, 1]",0.37127585709095,1.0,False,0.6666666666666666,0.44664371772805506,0
5,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[14, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[0, 1, 4]",0.04861252506573995,1.0,False,1.0,0.06210089399744573,0
6,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[19, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[1, 4, 1]",0.09262126311659813,1.0,False,1.0,0.04374201787994891,0
7,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[9, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[0, 0, 0]",0.047938358038663864,1.0,False,1.0,0.06896551724137931,0
8,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[7, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[-1, 2, 2]",0.4177999943494797,1.0,False,0.6666666666666666,0.40296198054818744,0
9,10,"[3, 3, 10, 11, 12, 15, 16, 17]","[13, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 2]","[2, 4, -1]",0.12393577676266432,1.0,False,0.6666666666666666,0.5357142857142857,0
10,10,"[3, 3, 10, 11, 12, 15, 16, 17]","[24, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 2]","[1, 1, 1]",0.040101442486047745,1.0,False,1.0,0.06201369436663554,0
11,10,"[3, 3, 10, 11, 12, 15, 16, 17]","[12, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 2]","[2, 2, -1]",0.1923348754644394,1.0,False,0.6666666666666666,0.5178571428571429,0
12,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[8, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[3, 4, 0]",0.06358491939802964,1.0,False,1.0,0.011594796961250478,0
13,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[13, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[3, 4, 0]",0.0308643722285827,1.0,False,1.0,0.01773514783844346,0
14,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[7, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[4, 3, -1]",0.03423475380986929,1.0,False,0.6666666666666666,0.5131578947368421,0
15,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[23, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[-1, 1, 0]",0.40478968620300293,1.0,False,0.6666666666666666,0.2878360891445003,0
16,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[19, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[-1, 1, 0]",0.43429262191057205,1.0,False,0.6666666666666666,0.04833528037383177,0
17,15,"[6, 2, 10, 11, 12, 15, 16, 17]","[21, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[-1, -1, 4]",0.03287093713879585,1.0,False,0.3333333333333333,0.08695652173913043,0
18,15,"[6, 2, 10, 11, 12, 15, 16, 17]","[20, 2, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, 4]",0.14436599239706993,1.0,False,1.0,0.06027667984189724,0
19,20,"[7, 13, 10, 11, 12, 15, 16, 17]","[7, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[1, 0, 0]",0.5794472942749659,0.9,False,1.0,0.21224880560667744,0
20,20,"[7, 13, 10, 11, 12, 15, 16, 17]","[15, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[1, 1, 1]",0.0625267717987299,0.7,False,1.0,0.35149658051336713,0
21,20,"[7, 13, 10, 11, 12, 15, 16, 17]","[16, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[1, 3, -1]",0.14667528122663498,0.4,False,0.6666666666666666,0.5179856115107914,0
22,20,"[7, 13, 10, 11, 12, 15, 16, 17]","[3, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[0, 0, 3]",0.3501718341528128,1.0,False,1.0,0.31285654706048827,0
23,20,"[7, 13, 10, 11, 12, 15, 16, 17]","[9, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[0, 0, 0]",0.35010201251134276,1.0,False,1.0,0.32372611227787956,0
24,25,"[8, 8, 10, 11, 12, 15, 16, 17]","[10, 8, 10, 11, 12, 15, 16, 17]","[0, 0, 0]","[2, 1, 4]",0.050477211674054466,0.7,False,1.0,0.04038155802861685,0
25,25,"[8, 8, 10, 11, 12, 15, 16, 17]","[11, 8, 10, 11, 12, 15, 16, 17]","[0, 0, 0]","[1, 0, -1]",0.20909958891570568,0.9,False,0.6666666666666666,0.04880763116057234,0
26,25,"[8, 8, 10, 11, 12, 15, 16, 17]","[20, 8, 10, 11, 12, 15, 16, 17]","[0, 0, 0]","[1, 2, 1]",0.11835809921224912,0.9,False,1.0,0.038993473957740034,0
27,38,"[17, 17, 10, 11, 12, 15, 16, 17]","[24, 17, 10, 11, 12, 15, 16, 17]","[3, 2, 2]","[1, 1, 0]",0.0990500698486964,1.0,False,1.0,0.052083333333333336,0
28,42,"[11, 11, 10, 11, 12, 15, 16, 17]","[24, 11, 10, 11, 12, 15, 16, 17]","[3, 2, 3]","[0, 0, 1]",0.18327537178993225,1.0,False,1.0,0.07378807378807378,0
29,42,"[11, 11, 10, 11, 12, 15, 16, 17]","[12, 11, 10, 11, 12, 15, 16, 17]","[3, 2, 3]","[3, 1, -1]",0.28916478902101517,1.0,False,0.6666666666666666,0.4123912994880737,0
30,42,"[11, 11, 10, 11, 12, 15, 16, 17]","[23, 11, 10, 11, 12, 15, 16, 17]","[3, 2, 3]","[0, 2, 0]",0.18454366425673166,1.0,False,1.0,0.04804804804804805,0
31,42,"[11, 11, 10, 11, 12, 15, 16, 17]","[19, 11, 10, 11, 12, 15, 16, 17]","[3, 2, 3]","[3, 4, 0]",0.21238977710405985,0.9,False,1.0,0.2868392566358459,0
32,44,"[8, 14, 10, 11, 12, 15, 16, 17]","[0, 14, 10, 11, 12, 15, 16, 17]","[0, 0, 0]","[2, 3, 3]",0.16296775390704474,1.0,False,1.0,0.3655038759689923,0
33,44,"[8, 14, 10, 11, 12, 15, 16, 17]","[10, 14, 10, 11, 12, 15, 16, 17]","[0, 0, 0]","[1, 0, 2]",0.18206890175739923,0.5,False,1.0,0.029615581257168126,0
34,47,"[8, 3, 10, 11, 12, 15, 16, 17]","[11, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 2, -1]",0.35706964135169983,0.4,False,0.6666666666666666,0.09646464646464646,0
35,47,"[8, 3, 10, 11, 12, 15, 16, 17]","[10, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 2, -1]",0.38382189720869064,0.4,False,0.6666666666666666,0.053729603729603725,0
36,47,"[8, 3, 10, 11, 12, 15, 16, 17]","[13, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 4, 2]",0.14024753558139005,0.7,False,1.0,0.023583662714097495,0
37,49,"[12, 0, 10, 11, 12, 15, 16, 17]","[20, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, -1]",0.2873567044734955,1.0,False,0.6666666666666666,0.07352941176470588,0
38,49,"[12, 0, 10, 11, 12, 15, 16, 17]","[23, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 0, -1]",0.05451434291899204,1.0,False,0.6666666666666666,0.08288770053475936,0
39,49,"[12, 0, 10, 11, 12, 15, 16, 17]","[24, 0, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 0, 0]",0.05010829741756121,1.0,False,1.0,0.07192513368983956,0
40,51,"[7, 19, 10, 11, 12, 15, 16, 17]","[10, 19, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[3, 1, 1]",0.2532823185125987,1.0,False,1.0,0.37222222222222223,0
41,51,"[7, 19, 10, 11, 12, 15, 16, 17]","[1, 19, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[0, 3, -1]",0.26665567606687546,1.0,False,0.6666666666666666,0.44047619047619047,0
42,51,"[7, 19, 10, 11, 12, 15, 16, 17]","[2, 19, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[0, 0, 4]",0.25249034725129604,1.0,False,1.0,0.626984126984127,0
43,52,"[9, 6, 10, 11, 12, 15, 16, 17]","[24, 6, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 2, 0]",0.09637813890973727,1.0,False,1.0,0.3703703703703704,0
44,52,"[9, 6, 10, 11, 12, 15, 16, 17]","[22, 6, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, 1]",0.17456300059954324,1.0,False,1.0,0.3663446054750403,0
45,53,"[23, 20, 10, 11, 12, 15, 16, 17]","[9, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[4, 0, -1]",0.03457581251859665,1.0,False,0.6666666666666666,0.046511627906976744,0
46,53,"[23, 20, 10, 11, 12, 15, 16, 17]","[3, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[4, 4, 3]",0.034546797474225364,1.0,False,1.0,0.023255813953488372,0
47,53,"[23, 20, 10, 11, 12, 15, 16, 17]","[2, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 3, 2]",0.12662382796406746,1.0,False,0.6666666666666666,0.030858676207513418,0
48,57,"[18, 23, 10, 11, 12, 15, 16, 17]","[16, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 0]","[4, 0, 2]",0.12666013836860657,1.0,False,1.0,0.021473583855053824,0
49,57,"[18, 23, 10, 11, 12, 15, 16, 17]","[12, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 0]","[4, 0, 2]",0.05260772258043289,1.0,False,1.0,0.3784391534391535,0
50,57,"[18, 23, 10, 11, 12, 15, 16, 17]","[8, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 0]","[4, 0, 3]",0.04943292587995529,0.9,False,1.0,0.6793650793650793,0
51,57,"[18, 23, 10, 11, 12, 15, 16, 17]","[13, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 0]","[-1, 3, 0]",0.0847895722836256,0.9,False,0.6666666666666666,0.02328490718321227,0
52,57,"[18, 23, 10, 11, 12, 15, 16, 17]","[14, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 0]","[1, 0, 0]",0.2131941244006157,0.8,False,1.0,0.048401488655725945,0
53,59,"[11, 22, 10, 11, 12, 15, 16, 17]","[2, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[4, 0, 3]",0.06442555164297421,1.0,False,1.0,0.36803582192370615,0
