Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6,test_idx,Fact id,sf_found
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,2,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,2,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,2,2,1
17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,3,4,1
17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,3,4,1
17.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,3,4,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,5,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,5,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,5,14,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,6,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,6,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,6,16,1
6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,8,21,1
6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,8,21,1
6.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,8,21,1
7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,9,32,1
7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,9,32,1
7.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,9,32,1
10.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,10,40,1
10.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,10,40,1
10.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,10,40,1
16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0,11,45,1
16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0,11,45,1
16.0,16.0,10.0,11.0,12.0,15.0,16.0,17.0,11,45,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,12,47,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,12,47,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,12,47,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,13,50,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,13,50,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,13,50,1
22.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0,14,51,1
22.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0,14,51,1
22.0,18.0,10.0,11.0,12.0,15.0,16.0,17.0,14,51,1
16.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,15,52,1
16.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,15,52,1
16.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,15,52,1
21.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,17,57,1
21.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,17,57,1
21.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,17,57,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,18,58,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,18,58,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,18,58,1
10.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,62,1
10.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,62,1
10.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,62,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,20,63,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,20,63,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,20,63,1
12.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,66,1
12.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,66,1
12.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,66,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,23,74,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,23,74,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,23,74,1
8.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0,24,76,1
8.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0,24,76,1
8.0,14.0,10.0,11.0,12.0,15.0,16.0,17.0,24,76,1
10.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0,25,81,1
10.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0,25,81,1
10.0,22.0,10.0,11.0,12.0,15.0,16.0,17.0,25,81,1
5.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,27,90,1
5.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,27,90,1
5.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,27,90,1
10.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,30,106,1
10.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,30,106,1
10.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,30,106,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,32,109,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,32,109,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,32,109,1
15.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,33,112,1
15.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,33,112,1
15.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,33,112,1
3.0,8.0,10.0,11.0,12.0,15.0,16.0,17.0,34,117,1
