Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
65,"[11.0, 13.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[0.0, 13.0, 2.0, 1.0, 2.0, 1.0, 1.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","Agent: 0.0 Monster: 13.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","[0, 1, 1]","[3, 2, 3]",1.0,0.05334810664256414,0.75,1.0,False,0,1
65,"[11.0, 13.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[0.0, 13.0, 2.0, 1.0, 2.0, 1.0, 1.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","Agent: 0.0 Monster: 13.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","[0, 1, 1]","[4, 2, 4]",1.0,0.14248972634474436,1.0,0.2,False,0,1
151,"[16.0, 19.0, 2.0, 2.0, 0.0, 0.0, 0.0]","[0.0, 19.0, 2.0, 2.0, 0.0, 0.0, 0.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}]","Agent: 0.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}]","[1, 0, 4]",,1.0,1.0,1.0,1.0,1,0,0
180,"[21.0, 23.0, 1.0, 1.0, 2.0, 2.0, 1.0]","[11.0, 23.0, 1.0, 1.0, 2.0, 2.0, 1.0]","Agent: 21.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}, {22: 1}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}, {22: 1}]","[1, 1, 1]","[3, 3, -1]",0.6666666666666666,0.02832356933504343,1.0,1.0,False,0,1
180,"[21.0, 23.0, 1.0, 1.0, 2.0, 2.0, 1.0]","[11.0, 23.0, 1.0, 1.0, 2.0, 2.0, 1.0]","Agent: 21.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}, {22: 1}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}, {22: 1}]","[1, 1, 1]","[1, 4, 0]",1.0,0.30102955053249997,0.8333333333333334,0.1,False,0,1
183,"[11.0, 13.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[1.0, 13.0, 1.0, 2.0, 0.0, 2.0, 1.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","Agent: 1.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","[1, 1, 4]","[4, 3, 3]",1.0,0.05286598981668552,0.6805555555555557,0.3,False,0,1
185,"[16.0, 19.0, 2.0, 0.0, 2.0, 0.0, 2.0]","[11.0, 19.0, 2.0, 0.0, 2.0, 0.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {12: 2}, {22: 2}]","Agent: 11.0 Monster: 19.0 Trees: [{2: 2}, {12: 2}, {22: 2}]","[1, 1, 1]","[3, 1, 3]",1.0,0.28363324888050556,1.0,0.2,False,0,1
185,"[16.0, 19.0, 2.0, 0.0, 2.0, 0.0, 2.0]","[11.0, 19.0, 2.0, 0.0, 2.0, 0.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {12: 2}, {22: 2}]","Agent: 11.0 Monster: 19.0 Trees: [{2: 2}, {12: 2}, {22: 2}]","[1, 1, 1]","[-1, 1, 1]",0.6666666666666666,0.5864159166812897,1.0,0.1,False,0,1
226,"[6.0, 8.0, 0.0, 0.0, 2.0, 1.0, 2.0]","[5.0, 8.0, 0.0, 0.0, 2.0, 1.0, 2.0]","Agent: 6.0 Monster: 8.0 Trees: [{12: 2}, {17: 1}, {22: 2}]","Agent: 5.0 Monster: 8.0 Trees: [{12: 2}, {17: 1}, {22: 2}]","[3, 3, 4]","[2, 2, -1]",0.6666666666666666,0.10377521440386772,1.0,0.2,False,0,1
234,"[16.0, 18.0, 2.0, 2.0, 0.0, 2.0, 0.0]","[11.0, 18.0, 2.0, 2.0, 0.0, 2.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 2}]","Agent: 11.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 2}]","[1, 1, 1]","[0, 0, 3]",1.0,0.10752550636728604,1.0,0.2,False,0,1
