,Fact id,Fact,SF,Fact actions,Recourse,num_cfs,uncertainty,fidelity,exceptionality,sparsity,Value
0,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[21.0, 8.0, 2.0, 1.0, 1.0, 2.0, 1.0]","[3, 0, 3]","[1, 0, 1]",False,1.0,0.1266760751605034,0.7777777777777778,1.0,0
1,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[20.0, 8.0, 2.0, 1.0, 1.0, 2.0, 2.0]","[3, 0, 3]","[5, 2, 4]",False,1.0,0.039058679870019354,1.0,1.0,0
2,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[21.0, 8.0, 2.0, 1.0, 2.0, 2.0, 1.0]","[3, 0, 3]","[-1, 4, 0]",False,1.0,0.15820901468396187,1.0,0.6666666666666666,0
3,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[21.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[0, 0, -1]",False,1.0,0.07517809420824051,1.0,0.6666666666666666,0
4,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[21.0, 4.0, 2.0, 1.0, 2.0, 1.0, 0.0]","[3, 3, 3]","[5, 4, 1]",False,1.0,0.05969962229331335,1.0,1.0,0
5,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[16.0, 4.0, 2.0, 1.0, 0.0, 0.0, 0.0]","[3, 3, 3]","[4, 3, 4]",False,1.0,0.22082300732533136,0.8333333333333334,1.0,0
6,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[10.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 3, 2]",False,1.0,0.48981747031211853,0.7222222222222222,1.0,0
7,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[16.0, 4.0, 2.0, 1.0, 0.0, 1.0, 0.0]","[3, 3, 3]","[4, 3, -1]",False,1.0,0.3005780056118965,0.75,0.6666666666666666,0
8,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[21.0, 9.0, 2.0, 1.0, 0.0, 1.0, 2.0]","[3, 3, 3]","[4, 4, -1]",False,1.0,0.053899092599749565,1.0,0.6666666666666666,0
9,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 1.0, 0.0, 0.0, 1.0]","[3, 3, 3]","[3, 4, 3]",False,1.0,0.43138929083943367,0.7333333333333334,1.0,0
10,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[17.0, 9.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, 3, 3]","[3, 4, 0]",False,0.9,0.2576581500470638,0.8333333333333334,1.0,0
11,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[15.0, 9.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[3, 0, 2]",False,1.0,0.29367469002803165,0.7777777777777778,1.0,0
12,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, 3, 3]","[4, 3, 3]",False,1.0,0.43313150107860565,0.5833333333333334,1.0,0
13,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 0.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[4, 3, 3]",False,1.0,0.41422635813554126,0.75,1.0,0
14,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[10.0, 9.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[3, 2, 3]",False,1.0,0.3420429403583209,0.7777777777777777,1.0,0
