,Fact id,Fact,SF,Fact actions,Recourse,exceptionality,num_cfs,fidelity,sparsity,uncertainty,Value
0,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[20.0, 14.0, 2.0, 2.0, 1.0, 2.0, 0.0]","[3, 0, 4]","[-1, 2, 1]",1.0,False,0.0643218345940113,0.6666666666666666,1.0,0
1,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 1.0, 2.0, 1.0, 2.0, 0.0]","[3, 0, 4]","[-1, -1, 4]",1.0,False,0.07145019620656967,0.3333333333333333,1.0,0
2,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[10.0, 14.0, 1.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[3, 4, 2]",0.7222222222222222,False,0.2884360998868942,1.0,1.0,0
3,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[20.0, 14.0, 2.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[1, 4, 4]",1.0,False,0.010815039897958437,1.0,1.0,0
4,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 2.0, 2.0, 1.0, 0.0, 0.0]","[3, 0, 4]","[0, 4, 2]",0.75,False,0.11872482237716515,1.0,1.0,0
5,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[5.0, 14.0, 2.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[3, 5, 3]",0.7333333333333334,False,0.18668265353577831,1.0,1.0,0
6,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[-1, 3, 5]",0.6,False,0.33959634564234875,0.6666666666666666,1.0,0
7,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[15.0, 4.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[5, 4, 5]",1.0,False,0.03166872325042883,1.0,1.0,0
8,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 0.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[5, 3, 5]",0.7999999999999999,False,0.22061770397704095,1.0,1.0,0
9,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, 3, 3]","[5, 3, 5]",0.7333333333333334,False,0.2268523752766972,1.0,1.0,0
10,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[2, 3, 3]",0.5777777777777778,False,0.3554907441139221,1.0,1.0,0
11,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 2.0, 1.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[5, 3, -1]",0.75,False,0.25932337366975844,0.6666666666666666,1.0,0
12,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[3, 2, 3]",0.4666666666666666,False,0.39141282935937244,1.0,1.0,0
13,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[3, 3, 3]",0.4666666666666666,False,0.500071664651235,1.0,0.5,0
