,Fact id,Fact,SF,Fact actions,Recourse,num_cfs,uncertainty,fidelity,exceptionality,sparsity,Value
0,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[12.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[3, 0, 3]","[3, 0, 3]",False,0.8,0.375971257686615,1.0,1.0,0
1,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[16.0, 8.0, 2.0, 1.0, 1.0, 2.0, 1.0]","[3, 0, 3]","[0, 1, 3]",False,1.0,0.2606395383675893,0.7777777777777778,1.0,0
2,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[6.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","[3, 0, 3]","[3, 3, 4]",False,1.0,0.7591641147931417,0.7182539682539683,1.0,0
3,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[21.0, 8.0, 2.0, 1.0, 2.0, 2.0, 0.0]","[3, 0, 3]","[1, 5, 4]",False,1.0,0.013961093112205466,1.0,1.0,0
4,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[17.0, 8.0, 2.0, 1.0, 1.0, 0.0, 1.0]","[3, 0, 3]","[4, 0, 3]",False,1.0,0.13266341015696526,0.9166666666666666,1.0,0
5,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[16.0, 8.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[3, 0, 3]","[4, 4, -1]",False,1.0,0.06544837541878223,1.0,0.6666666666666666,0
6,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[10.0, 8.0, 2.0, 1.0, 1.0, 0.0, 1.0]","[3, 0, 3]","[4, 2, 3]",False,1.0,0.1606884760161241,0.8333333333333334,1.0,0
7,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[16.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[1, 0, -1]",False,1.0,0.056524669751524925,1.0,0.6666666666666666,0
8,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[3, 3, 4]",False,1.0,0.6382439732551575,0.5936507936507937,1.0,0
9,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[5.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 0, 2]",False,1.0,0.31591328233480453,0.6222222222222221,1.0,0
10,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[10.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[5, 4, 2]",False,1.0,0.05572362678746382,0.7222222222222222,1.0,0
11,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[21.0, 4.0, 2.0, 1.0, 2.0, 1.0, 0.0]","[3, 3, 3]","[1, 1, 4]",False,1.0,0.03837471889952818,1.0,1.0,0
12,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[0, 2, 3]",False,1.0,0.21920175477862358,0.75,1.0,0
13,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[4, 1, 5]",False,1.0,0.01067248972443243,1.0,1.0,0
14,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[1, 0, -1]",False,1.0,0.11767701618373394,1.0,0.6666666666666666,0
15,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[17.0, 9.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[3, 3, 3]","[1, 4, 0]",False,0.8,0.08925764386852582,1.0,1.0,0
16,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, 1]",False,1.0,0.49944363549972576,0.3188888888888889,1.0,0
17,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[4, 3, 2]",False,1.0,0.24523794814012945,0.7037037037037037,1.0,0
18,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[6.0, 9.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, -1]",False,1.0,0.7452678084373474,0.4583333333333333,0.6666666666666666,0
19,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[10.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[3, 0, 4]","[5, 2, 3]",False,1.0,0.026585952029563487,0.7142857142857143,1.0,0
20,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[10.0, 18.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[3, 0, 4]","[5, 2, 3]",False,1.0,0.02863920476132383,0.6875,1.0,0
21,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[21.0, 18.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, 0, 4]","[1, 4, 5]",False,1.0,0.009418892363707224,1.0,1.0,0
22,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[16.0, 18.0, 1.0, 1.0, 1.0, 0.0, 2.0]","[3, 0, 4]","[4, 2, 0]",False,0.6,0.3133007263143857,0.7142857142857143,1.0,0
23,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[22.0, 18.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, 0, 4]","[1, 4, 0]",False,0.9,0.04096049256622791,1.0,1.0,0
24,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[17.0, 18.0, 1.0, 1.0, 1.0, 0.0, 2.0]","[3, 0, 4]","[4, 4, 0]",False,0.5,0.31660184512535733,0.4047619047619047,1.0,0
25,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[6.0, 18.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[3, 0, 4]","[3, 3, -1]",False,1.0,0.04321800544857979,1.0,0.6666666666666666,0
26,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[15.0, 18.0, 1.0, 1.0, 0.0, 0.0, 2.0]","[3, 0, 4]","[4, 2, -1]",False,1.0,0.4272899143397808,0.7857142857142857,0.6666666666666666,0
27,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[15.0, 18.0, 1.0, 1.0, 1.0, 0.0, 2.0]","[3, 0, 4]","[4, 2, -1]",False,1.0,0.42928077280521393,0.5714285714285714,0.6666666666666666,0
28,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[11.0, 18.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[5, 4, 3]",False,1.0,0.2658203028064842,0.42857142857142855,1.0,0
29,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[11.0, 23.0, 0.0, 2.0, 1.0, 2.0, 1.0]","[1, 1, 1]","[0, 3, 0]",False,1.0,0.11183435904483001,0.7777777777777778,1.0,0
30,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[21.0, 23.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[1, 1, 1]","[1, 4, 1]",False,0.9,0.502807987233003,0.6881720430107526,1.0,0
31,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[15.0, 23.0, 1.0, 2.0, 1.0, 0.0, 1.0]","[1, 1, 1]","[5, 4, 2]",False,1.0,0.01691380876582116,1.0,1.0,0
32,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[11.0, 23.0, 0.0, 2.0, 2.0, 0.0, 1.0]","[1, 1, 1]","[4, 3, -1]",False,1.0,0.020288432482630014,1.0,0.6666666666666666,0
33,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 23.0, 2.0, 2.0, 0.0, 2.0, 1.0]","[1, 1, 1]","[1, 0, 2]",False,1.0,0.2841040113319953,0.39393939393939387,1.0,0
34,17,"[16.0, 23.0, 0.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 23.0, 2.0, 2.0, 1.0, 2.0, 1.0]","[1, 1, 1]","[1, 0, 2]",False,1.0,0.2806451140592496,0.5833333333333333,1.0,0
